,city,aqi
0,重庆,优(一级)
1,北京,良(二级)
2,天津,轻度污染(三级)
3,上海,优(一级)
4,济南,良(二级)
5,青岛,优(一级)
6,滨州,优(一级)
7,德州,优(一级)
8,东营,优(一级)
9,菏泽,良(二级)
10,济宁,良(二级)
11,莱芜,良(二级)
12,聊城,良(二级)
13,临沂,良(二级)
14,日照,良(二级)
15,泰安,良(二级)
16,潍坊,优(一级)
17,威海,优(一级)
18,烟台,优(一级)
19,淄博,良(二级)
20,枣庄,良(二级)
21,胶南,良(二级)
22,胶州,优(一级)
23,即墨,优(一级)
24,莱西,优(一级)
25,莱州,优(一级)
26,蓬莱,
27,平度,优(一级)
28,荣成,优(一级)
29,乳山,优(一级)
30,寿光,优(一级)
31,文登,优(一级)
32,章丘,良(二级)
33,招远,优(一级)
34,南京,良(二级)
35,苏州,优(一级)
36,南通,优(一级)
37,徐州,良(二级)
38,连云港,良(二级)
39,无锡,优(一级)
40,常州,优(一级)
41,扬州,良(二级)
42,泰州,良(二级)
43,镇江,良(二级)
44,宿迁,良(二级)
45,淮安,优(一级)
46,盐城,优(一级)
47,常熟,优(一级)
48,海门,优(一级)
49,江阴,优(一级)
50,金坛,良(二级)
51,句容,良(二级)
52,昆山,优(一级)
53,溧阳,优(一级)
54,太仓,优(一级)
55,吴江区,优(一级)
56,宜兴,优(一级)
57,张家港,优(一级)
58,广州,优(一级)
59,深圳,优(一级)
60,珠海,优(一级)
61,佛山,良(二级)
62,中山,优(一级)
63,江门,优(一级)
64,东莞,良(二级)
65,惠州,优(一级)
66,肇庆,良(二级)
67,河源,优(一级)
68,汕头,良(二级)
69,韶关,优(一级)
70,清远,优(一级)
71,潮州,优(一级)
72,揭阳,良(二级)
73,茂名,良(二级)
74,梅州,优(一级)
75,汕尾,优(一级)
76,阳江,良(二级)
77,云浮,优(一级)
78,湛江,优(一级)
79,宁波,优(一级)
80,杭州,良(二级)
81,绍兴,良(二级)
82,温州,良(二级)
83,舟山,优(一级)
84,金华,优(一级)
85,湖州,良(二级)
86,嘉兴,优(一级)
87,台州,优(一级)
88,衢州,优(一级)
89,丽水,良(二级)
90,富阳,良(二级)
91,临安,良(二级)
92,义乌,良(二级)
93,诸暨,良(二级)
94,石家庄,良(二级)
95,唐山,轻度污染(三级)
96,邯郸,良(二级)
97,保定,良(二级)
98,秦皇岛,良(二级)
99,承德,优(一级)
100,廊坊,轻度污染(三级)
101,张家口,优(一级)
102,衡水,良(二级)
103,邢台,良(二级)
104,沧州,良(二级)
105,沈阳,良(二级)
106,大连,优(一级)
107,丹东,优(一级)
108,葫芦岛,优(一级)
109,盘锦,优(一级)
110,营口,良(二级)
111,鞍山,良(二级)
112,本溪,良(二级)
113,抚顺,良(二级)
114,锦州,轻度污染(三级)
115,瓦房店,
116,成都,优(一级)
117,德阳,优(一级)
118,泸州,优(一级)
119,绵阳,优(一级)
120,南充,优(一级)
121,攀枝花,良(二级)
122,宜宾,优(一级)
123,自贡,优(一级)
124,郑州,良(二级)
125,安阳,良(二级)
126,焦作,轻度污染(三级)
127,开封,良(二级)
128,洛阳,良(二级)
129,平顶山,轻度污染(三级)
130,三门峡,良(二级)
131,长沙,优(一级)
132,株洲,优(一级)
133,湘潭,优(一级)
134,常德,优(一级)
135,岳阳,良(二级)
136,张家界,优(一级)
137,西安,良(二级)
138,渭南,良(二级)
139,宝鸡,良(二级)
140,咸阳 ,轻度污染(三级)
141,延安,良(二级)
142,铜川,良(二级)
143,太原,良(二级)
144,长治,轻度污染(三级)
145,大同,优(一级)
146,临汾,良(二级)
147,阳泉,良(二级)
148,南宁,良(二级)
149,柳州,优(一级)
150,北海,优(一级)
151,桂林,优(一级)
152,哈尔滨,良(二级)
153,大庆,优(一级)
154,牡丹江,优(一级)
155,齐齐哈尔,良(二级)
156,呼和浩特,良(二级)
157,包头,良(二级)
158,鄂尔多斯,良(二级)
159,赤峰,
160,合肥,良(二级)
161,马鞍山,优(一级)
162,芜湖,优(一级)
163,厦门,优(一级)
164,福州,优(一级)
165,泉州,优(一级)
166,兰州,良(二级)
167,嘉峪关,良(二级)
168,金昌,良(二级)
169,武汉,良(二级)
170,荆州,优(一级)
171,宜昌,优(一级)
172,乌鲁木齐,优(一级)
173,克拉玛依,优(一级)
174,库尔勒,轻度污染(三级)
175,昆明,优(一级)
176,玉溪,优(一级)
177,曲靖,优(一级)
178,长春,良(二级)
179,吉林,良(二级)
180,银川,优(一级)
181,石嘴山,良(二级)
182,南昌,良(二级)
183,九江,良(二级)
184,海口,优(一级)
185,三亚,优(一级)
186,贵阳,优(一级)
187,遵义,优(一级)
188,西宁,良(二级)
189,拉萨,优(一级)
